Date,Open,High,Low,Close,Adj Close,Volume
2019-09-05,54.794998,55.334999,54.650002,54.952499,50.769218,17661200
2019-09-06,55.027500,55.257500,54.689999,55.035000,50.845440,9130400
2019-09-09,54.799999,55.222500,54.722500,54.972500,50.787697,8297600
2019-09-10,54.820000,54.915001,54.092499,54.529999,50.378883,11094800
2019-09-11,54.505001,55.147499,54.362499,55.014999,50.826965,8818000
2019-09-12,55.467499,55.562500,54.930000,55.185001,50.984024,8671200
2019-09-13,55.014999,55.029999,54.447498,54.622501,50.464344,8213200
2019-09-16,54.642502,54.770000,54.314999,54.577499,50.422768,5033600
2019-09-17,54.610001,55.582500,54.610001,55.555000,51.325855,7596800
2019-09-18,55.715000,56.047501,55.342499,55.974998,51.713879,7681600
2019-09-19,56.185001,56.349998,55.889999,56.224998,51.944847,5906800
2019-09-20,56.299999,56.500000,55.910000,56.430000,52.134243,19007200
2019-09-23,56.360001,56.615002,56.209999,56.320000,52.032619,6634000
2019-09-24,56.470001,57.167500,56.340000,57.127499,52.778641,8674400
2019-09-25,57.224998,57.372501,56.877499,57.342499,52.977287,8423600
2019-09-26,57.497501,58.197498,57.395000,57.930000,53.520054,8703600
2019-09-27,58.062500,58.142502,57.537498,57.814999,53.413811,7501200
2019-09-30,58.005001,58.362499,57.937500,58.247501,53.813385,8937600
2019-10-01,58.040001,58.292500,57.662498,58.007500,53.591663,6727600
2019-10-02,57.922501,58.119999,57.132500,57.277500,52.917221,8138400
2019-10-03,57.215000,57.572498,57.139999,57.542500,53.162056,8017600
2019-10-04,57.527500,58.465000,57.500000,58.397499,53.951969,6552800
2019-10-07,58.362499,58.455002,57.792500,58.137501,53.711761,6154000
2019-10-08,58.035000,58.044998,57.490002,57.492500,53.115871,6968000
2019-10-09,58.057499,58.567501,57.750000,58.340000,53.898853,6004000
2019-10-10,58.005001,58.215000,57.560001,58.000000,53.584728,7465600
2019-10-11,57.947498,58.095001,57.137501,57.384998,53.016544,8301600
2019-10-14,57.502499,57.595001,56.887501,57.224998,52.868725,4711600
2019-10-15,57.334999,57.455002,56.707500,56.884998,52.554607,5672400
2019-10-16,56.917500,57.584999,56.645000,57.477501,53.102005,7662000
2019-10-17,57.317501,57.897499,57.317501,57.772499,53.374538,5366400
2019-10-18,57.797501,58.195000,57.577499,58.119999,53.695587,8784400
2019-10-21,58.102501,58.259998,57.662498,58.200001,53.769501,6488400
2019-10-22,58.447498,59.972500,58.252499,59.060001,54.564030,12636800
2019-10-23,59.387501,59.650002,58.927502,59.000000,54.508606,8912400
2019-10-24,59.000000,59.417500,58.705002,59.387501,54.866608,6411200
2019-10-25,59.404999,59.412498,58.892502,59.220001,54.711861,6072400
2019-10-28,59.125000,59.177502,58.160000,58.307499,53.868820,7164400
2019-10-29,58.067501,58.292500,57.799999,58.150002,53.723312,6861200
2019-10-30,58.332500,59.157501,58.252499,58.865002,54.383873,4959200
2019-10-31,58.880001,59.625000,58.730000,59.584999,55.049072,8228400
2019-11-01,59.672501,59.722500,58.772499,58.927502,54.441628,8018000
2019-11-04,58.807499,58.807499,57.047501,57.400002,53.030407,13459600
2019-11-05,56.852501,57.325001,56.177502,56.777500,52.455292,9502400
2019-11-06,56.875000,57.125000,56.650002,56.872501,52.543056,6976400
2019-11-07,56.654999,56.660000,55.165001,55.772499,51.526791,12473200
2019-11-08,55.775002,56.172501,55.259998,55.520000,51.293522,6431600
2019-11-11,55.590000,55.869999,55.427502,55.555000,51.325855,6142800
2019-11-12,55.547501,56.000000,55.522499,55.805000,51.556816,5798400
2019-11-13,56.224998,57.044998,56.224998,56.977501,52.640064,7189200
2019-11-14,57.000000,57.529999,56.902500,57.467499,53.092766,6329600
2019-11-15,57.605000,57.884998,57.087502,57.855000,53.450760,7382400
2019-11-18,57.994999,58.610001,57.937500,58.040001,53.621681,7002400
2019-11-19,58.022499,58.584999,57.782501,58.165001,53.737171,6522400
2019-11-20,58.334999,59.189999,58.180000,58.805000,54.328449,8506000
2019-11-21,58.932499,59.067501,58.527500,58.785000,54.309963,4990000
2019-11-22,58.855000,59.042500,57.930000,58.345001,53.903469,5016000
2019-11-25,58.467499,58.639999,57.939999,58.139999,53.714069,7456400
2019-11-26,58.292500,58.810001,58.250000,58.730000,54.259159,15634000
2019-11-27,58.332500,58.447498,58.139999,58.267502,54.119831,8584000
2019-11-29,58.652500,58.932499,58.307499,58.455002,54.293987,3557600
2019-12-02,58.427502,58.427502,57.767502,57.812500,53.697220,7118000
2019-12-03,58.000000,58.205002,57.847500,58.057499,53.924778,9249200
2019-12-04,57.912498,58.617500,57.875000,58.564999,54.396152,6699200
2019-12-05,58.279999,58.697498,58.257500,58.639999,54.465820,6413200
2019-12-06,58.602501,58.857498,58.377499,58.597500,54.426338,6196000
2019-12-09,58.735001,58.742500,58.459999,58.567501,54.398476,4560000
2019-12-10,58.590000,58.737499,58.452499,58.612499,54.440269,4345600
2019-12-11,58.750000,58.965000,58.485001,58.945000,54.749111,6212800
2019-12-12,58.880001,59.047501,58.192501,58.474998,54.312565,6970400
2019-12-13,58.270000,59.345001,58.192501,59.237499,55.020790,8345200
2019-12-16,59.310001,59.875000,59.099998,59.867500,55.605942,14284800
2019-12-17,59.865002,60.224998,59.705002,59.955002,55.687214,10374000
2019-12-18,60.182499,60.250000,59.685001,60.072498,55.796341,8585600
